Province,Day,Min Price,Max Price,Avg Price,Avg Selling Price
Jawa Timur,2023-01-05,4250.0000000000000000,4550.0000000000000000,4440.0000000000000000,4431.870827896343
Jawa Timur,2023-01-06,4250,4550.0000000000000000,4458.3333333333333333,4452.100623770604
Jawa Timur,2023-01-07,4300.0000000000000000,4300.0000000000000000,4300.0000000000000000,4300.0
Jawa Timur,2023-01-09,4400.0000000000000000,4550.0000000000000000,4475.0000000000000000,4479.079274795592
Jawa Timur,2023-01-10,4275.0000000000000000,4350.0000000000000000,4300.0000000000000000,4294.81173380035
Jawa Timur,2023-01-11,3950.0000000000000000,4400.0000000000000000,4325.0000000000000000,4340.422498217703
Jawa Timur,2023-01-12,4300.0000000000000000,4600.0000000000000000,4408.3333333333333333,4409.836056029715
Jawa Timur,2023-01-13,4300.0000000000000000,4600.0000000000000000,4418.1818181818181818,4426.623248470495
Jawa Timur,2023-01-14,4250.0000000000000000,4600.0000000000000000,4440.0000000000000000,4441.601343784994
Jawa Timur,2023-01-16,4300.0000000000000000,4550.0000000000000000,4407.1428571428571429,4421.752921535893
Jawa Timur,2023-01-17,4400.0000000000000000,4600.0000000000000000,4470.0000000000000000,4466.82880789894
Jawa Timur,2023-01-18,4400.0000000000000000,4550.0000000000000000,4425.0000000000000000,4425.910496478268
Jawa Timur,2023-01-19,4400.0000000000000000,4550.0000000000000000,4467.8571428571428571,4469.970131917365
Jawa Timur,2023-01-20,4400.0000000000000000,4600.0000000000000000,4487.5000000000000000,4488.163352882278
Jawa Timur,2023-01-21,4450.0000000000000000,4500.0000000000000000,4475.0000000000000000,4477.471327143638
Jawa Timur,2023-01-24,4300.0000000000000000,4600.0000000000000000,4438.8888888888888889,4438.829008649368
Jawa Timur,2023-01-25,3950,4650.0000000000000000,4479.1666666666666667,4473.466132502411
Jawa Timur,2023-01-26,4400.0000000000000000,4650.0000000000000000,4525.0000000000000000,4527.799924284832
Jawa Timur,2023-01-27,4400.0000000000000000,4600.0000000000000000,4513.3333333333333333,4511.771340800638
Jawa Timur,2023-01-28,4500.0000000000000000,4550.0000000000000000,4530.0000000000000000,4529.977687166172
Jawa Timur,2023-01-30,4500.0000000000000000,4700.0000000000000000,4523.0769230769230769,4522.091876673168
